name,date,a,b,c,d,price
PHARMAID,2/1/2015,259.6,264.9,252,263.4,125327
PHENIXINS,2/1/2015,33,33,31.1,31.2,7085
PHOENIXFIN,2/1/2015,24.2,25.2,24.2,25,50106
PIONEERINS,2/1/2015,41.3,41.5,41.1,41.3,6136
PLFSL,2/1/2015,20.2,20.2,19,19.2,372370
POPULARLIF,2/1/2015,131,131.7,123.5,129.2,6868
POWERGRID,2/1/2015,38.1,38.5,37.4,37.6,33525
PRAGATIINS,2/1/2015,39,39,39,39,4341
PREMIERBAN,2/1/2015,9.9,10,9.6,9.8,506487
PREMIERCEM,2/1/2015,72,72,68.8,69.9,11768
PRIMEBANK,2/1/2015,18.8,19.3,18.6,19,430763
PRIMEFIN,2/1/2015,19.5,19.7,19.4,19.6,103624
PRIMEINSUR,2/1/2015,17.2,17.5,17.1,17.3,17244
PRIMELIFE,2/1/2015,56.9,57.4,55.7,57.2,8341
PRIMETEX,2/1/2015,17.5,18,17.4,17.6,25510
PROVATIINS,2/1/2015,16.4,17.5,16.4,16.5,2704
PTL,2/1/2015,20.5,20.5,19.5,19.9,96532
PUBALIBANK,2/1/2015,23.5,23.7,23.3,23.6,151254
PURABIGEN,2/1/2015,18,18,16.2,16.7,18853
QSMDRYCELL,2/1/2015,56.3,56.7,55.3,56,117841
RAHIMTEXT,2/1/2015,244.1,244.5,233,234.1,3552
RAKCERAMIC,2/1/2015,54,54,51.6,52.1,391373
RANFOUNDRY,2/1/2015,98,99,95.7,96.7,4573
RDFOOD,2/1/2015,19.5,19.9,19.2,19.4,205175
RECKITTBEN,2/1/2015,1029.2,1029.3,1011,1022.9,151
RELIANCINS,2/1/2015,54,55,54,54.5,5760
RENATA,2/1/2015,992.1,995,988.3,989.5,8103
RENWICKJA,2/1/2015,207.8,208.8,200,203.1,5925
REPUBLIC,2/1/2015,21.1,21.5,21,21.1,10324
RSRMSTEEL,2/1/2015,54.5,55.8,52.4,52.6,352102
RUPALIBANK,2/1/2015,55.8,56.8,55.8,56,162
RUPALIINS,2/1/2015,20.5,20.7,19,19.8,58229
SAFKOSPINN,2/1/2015,22.5,22.8,21.4,21.8,209547
SAIFPOWER,2/1/2015,67.2,67.2,63.6,64.8,556208
SAIHAMCOT,2/1/2015,19.4,19.9,19.2,19.4,112425
SAIHAMTEX,2/1/2015,24.9,24.9,23.7,23.7,247613
SALAMCRST,2/1/2015,31,31.6,30.7,31.2,42069
SALVOCHEM,2/1/2015,18.6,18.6,18.1,18.3,172112
SAMORITA,2/1/2015,75.6,78.4,75,75.1,6914
SANDHANINS,2/1/2015,58.2,58.2,53.5,55.6,14677
SAPORTL,2/1/2015,61,62.4,59.9,60.8,484086
SHAHJABANK,2/1/2015,11.6,11.8,11.5,11.6,362547
SIBL,2/1/2015,13.9,14,13.7,13.9,685757
SINGERBD,2/1/2015,205.8,206.9,201,201.7,63684
SINOBANGLA,2/1/2015,24.8,25,23.3,24.2,42600
SONALIANSH,2/1/2015,95.6,96,94,94.9,5458
SONARBAINS,2/1/2015,17.9,18,17.9,18,20075
SOUTHEASTB,2/1/2015,19.5,19.7,19,19.5,953606
SPPCL,2/1/2015,47,47.4,46.2,46.4,190758
SQUARETEXT,2/1/2015,90.2,90.6,89.6,90.1,42312
SQURPHARMA,2/1/2015,253.5,255,250.8,253.8,153430
STANCERAM,2/1/2015,37.3,37.3,37.2,37.3,60
STANDARINS,2/1/2015,23.2,23.8,23.2,23.4,625
STANDBANKL,2/1/2015,12.4,12.4,12.1,12.2,236823
STYLECRAFT,2/1/2015,835,835.1,834.9,835.1,105
SUMITPOWER,2/1/2015,36,36,34.7,35,319820
TAKAFULINS,2/1/2015,23.5,24.9,23,24,2220
TITASGAS,2/1/2015,75.2,76,74.9,75.6,367965
TRUSTBANK,2/1/2015,19,19,18.4,18.7,130912
TUNGHAI,2/1/2015,17,17.2,16.8,17,227507
UCBL,2/1/2015,29.6,30,29.5,29.6,212819
UNIONCAP,2/1/2015,19.8,19.8,19,19.1,40747
UNIQUEHRL,2/1/2015,63,63,61.8,62,80500
UNITEDAIR,2/1/2015,8.1,8.2,7.9,8,1504180
UNITEDFIN,2/1/2015,27.9,28.1,27,27.8,270310
UNITEDINS,2/1/2015,31.1,31.8,31.1,31.7,1251
USMANIAGL,2/1/2015,96,99,96,96.6,4132
UTTARABANK,2/1/2015,26.1,26.1,25.3,25.4,145683
UTTARAFIN,2/1/2015,70.7,72.8,70.7,72.5,16399
WATACHEM,2/1/2015,210,210,198,199.2,21274
WMSHIPYARD,2/1/2015,48.7,48.7,46.9,47.2,624366
ZAHINTEX,2/1/2015,14.1,14.4,14.1,14.2,53528
ANWARGALV,2/1/2015,35.2,36,35,35.2,47081
BDTHAI,2/1/2015,38.7,38.7,37.5,38.1,311349
BIFC,2/1/2015,14.6,14.6,14.1,14.2,45005
CVOPRL,2/1/2015,498,498,481.9,485.2,65627
DSHGARME,2/1/2015,70,71.5,69,70.6,12314
FASFIN,2/1/2015,16.9,16.9,16.8,16.9,21621
GEMINISEA,2/1/2015,235,235,217.2,218.9,5681
HAKKANIPUL,2/1/2015,24.2,24.3,23.7,24,7675
ILFSL,2/1/2015,12.4,12.6,12.2,12.4,135817
LEGACYFOOT,2/1/2015,23.8,24,23.6,23.7,44425
MAKSONSPIN,2/1/2015,13,13.1,12.5,12.7,793750
METROSPIN,2/1/2015,12.1,12.1,11.7,11.8,233966
MIRACLEIND,2/1/2015,14.9,14.9,14.5,14.7,79105
MONNOCERA,2/1/2015,28.6,29,28.6,28.8,3854
RUPALILIFE,2/1/2015,47,47,45.9,46,25288
SUNLIFEINS,2/1/2015,36.7,37.5,36.7,37.4,16189
CNATEX,2/1/2015,24.9,25.1,23.9,24.3,2966150
EMERALDOIL,2/1/2015,39.6,39.7,38.9,39.4,132469
HFL,2/1/2015,28.1,28.2,27.1,27.3,611877
NFML,2/1/2015,31.3,31.4,28.6,29.1,992163
SHURWID,2/1/2015,25.3,25.5,24.4,24.8,250206
AZIZPIPES,2/1/2015,21.7,22,20,20.5,12238
BDAUTOCA,2/1/2015,20.5,20.6,20,20.2,2500
BDWELDING,2/1/2015,16.5,16.5,15.5,15.5,80468
BEACONPHAR,2/1/2015,16.2,16.5,15.8,15.9,448345
BXSYNTH,2/1/2015,10.6,10.8,10.1,10.1,81929
DAFODILCOM,2/1/2015,13.2,13.5,13.2,13.4,33109
DULAMIACOT,2/1/2015,7.9,7.9,7.9,7.9,1600
FAREASTFIN,2/1/2015,17.4,17.5,16,16.4,583398
FINEFOODS,2/1/2015,10.1,10.3,10,10,15928
ICBIBANK,2/1/2015,5,5,4.8,5,65666
IMAMBUTTON,2/1/2015,7.5,8,7.5,7.7,2100
ISNLTD,2/1/2015,10.5,11,10.5,10.6,18647
JUTESPINN,2/1/2015,48.2,53.8,48.2,49.8,106
KAY&QUE,2/1/2015,13.1,14,13.1,13.6,3010
KEYACOSMET,2/1/2015,20.2,20.4,19.5,19.6,252756
LAFSURCEML,2/1/2015,123,123.9,119.5,122.1,750758
MEGCONMILK,2/1/2015,7.4,7.4,7.3,7.3,4500
MEGHNAPET,2/1/2015,5.6,5.7,5.6,5.7,5000
MIDASFIN,2/1/2015,14.7,14.7,13.6,14,2424
MODERNDYE,2/1/2015,90,90,86,86.5,1600
PADMALIFE,2/1/2015,38,38.2,37.6,38,5126
PRAGATILIF,2/1/2015,95,95,90.5,90.6,545
PREMIERLEA,2/1/2015,9.4,9.4,8.8,9,77312
RAHIMAFOOD,2/1/2015,36.7,36.7,34,34.2,18563
RNSPIN,2/1/2015,28.7,29,27,27.2,177283
SHYAMPSUG,2/1/2015,7.5,7.5,7.4,7.5,1990
SONARGAON,2/1/2015,9.9,10.5,9.9,10,24375
SPCERAMICS,2/1/2015,12.9,12.9,12.6,12.7,9289
TALLUSPIN,2/1/2015,13.8,14.1,13,13.3,143362
1JANATAMF,2/1/2015,5,5,4.8,5,78515
1STICB,2/1/2015,1150,1151,1150,1150.1,90
1STPRIMFMF,2/1/2015,14.9,14.9,14.5,14.7,56042
2NDICB,2/1/2015,265.3,265.3,265.3,265.3,50
5THICB,2/1/2015,178,178,178,178,9
6THICB,2/1/2015,55,55.8,54.2,54.5,7590
7THICB,2/1/2015,83.5,83.5,83.5,83.5,25
8THICB,2/1/2015,64,64,64,64,243
ABB1STMF,2/1/2015,6.1,6.1,6,6.1,376500
AIBL1STIMF,2/1/2015,4.6,5.2,4.6,5.1,701650
AIMS1STMF,2/1/2015,29.3,29.5,28.6,29.5,467234
DBH1STMF,2/1/2015,4.3,4.3,4.2,4.3,89821
EBL1STMF,2/1/2015,5,5,4.9,5,84439
EBLNRBMF,2/1/2015,4.4,4.4,4.4,4.4,15072
EXIM1STMF,2/1/2015,5.9,6.2,5.9,5.9,9416
FBFIF,2/1/2015,6.5,6.5,6.5,6.5,500
GRAMEEN1,2/1/2015,22.2,22.6,22.2,22.3,17530
GRAMEENS2,2/1/2015,11.3,11.5,11.2,11.3,146975
GREENDELMF,2/1/2015,4.3,4.4,4.2,4.2,24417
ICB1STNRB,2/1/2015,20.5,20.5,20.5,20.5,900
ICB2NDNRB,2/1/2015,7.7,7.8,7.7,7.7,11200
ICB3RDNRB,2/1/2015,4.3,4.3,4.3,4.3,74500
ICBAMCL2ND,2/1/2015,4.5,4.5,4.4,4.5,40339
ICBEPMF1S1,2/1/2015,4.4,4.5,4.4,4.4,13000
ICBSONALI1,2/1/2015,6.4,6.4,6.3,6.3,3000
IFIC1STMF,2/1/2015,4.9,4.9,4.8,4.9,119935
IFILISLMF1,2/1/2015,5.7,5.8,5.6,5.7,66848
LRGLOBMF1,2/1/2015,4.3,4.5,4.2,4.4,183178
MBL1STMF,2/1/2015,4.2,4.3,4.2,4.2,183600
NCCBLMF1,2/1/2015,5.4,5.4,5.2,5.2,339406
NLI1STMF,2/1/2015,8.1,8.2,8,8,83440
PF1STMF,2/1/2015,4.9,5.4,4.9,5.3,85971
PHPMF1,2/1/2015,4.6,4.6,4.4,4.5,127390
POPULAR1MF,2/1/2015,4.7,4.8,4.7,4.8,175317
PRIME1ICBA,2/1/2015,4.4,4.4,4.3,4.3,23645
RELIANCE1,2/1/2015,6.6,6.6,6.5,6.6,26100
SEBL1STMF,2/1/2015,7.5,7.6,7.5,7.5,77000
TRUSTB1MF,2/1/2015,5.1,5.1,5,5,79525
ACIZCBOND,2/1/2015,1000,1000,995,997.5,4
BRACSCBOND,2/1/2015,1040.5,1040.5,1040.5,1040.5,25
IBBLPBOND,2/1/2015,964.5,966.5,963.5,964,1070
ICB,2/1/2015,1350,1350,1310.1,1320.8,7859
SPCL,2/1/2015,214,217.9,195.2,195.2,143954
DSEGEN,2/1/2015,0,0,0,0,1846850000
DSEX,2/1/2015,4724.05,4724.05,4630.98,4654.95,41689500
