name,date,a,b,c,d,price
SB71,2/1/2015,54.6914,54.1001,0,54.0502,14657100
AAMRATECH,2/1/2015,37.4,38.1,36.9,37.1,2027990
ABBANK,2/1/2015,28.5,28.8,28.1,28.2,445142
ACI,2/1/2015,354,356.5,348.5,350.2,24079
ACIFORMULA,2/1/2015,116.9,118,114,115.2,91162
ACTIVEFINE,2/1/2015,68.6,70,67.5,68,95268
AFCAGRO,2/1/2015,46.5,47.3,46.2,46.8,59080
AFTABAUTO,2/1/2015,63,63.1,61.7,62.1,61186
AGNISYSL,2/1/2015,30.9,31,30.2,30.4,697386
AGRANINS,2/1/2015,17.1,17.4,17.1,17.2,8822
AL-HAJTEX,2/1/2015,87.3,88.9,82.5,84.2,54883
ALARABANK,2/1/2015,15.3,15.4,15.1,15.1,330715
ALLTEX,2/1/2015,28.7,28.9,28,28.2,1103600
AMBEEPHA,2/1/2015,259.2,259.2,252.5,254.2,2383
AMCL(PRAN),2/1/2015,197,200.3,197,199.7,14866
ANLIMAYARN,2/1/2015,19.7,19.8,19.4,19.5,5864
APEXFOODS,2/1/2015,96.9,96.9,94,95.4,7760
APEXFOOT,2/1/2015,401,403,395,397,5103
APEXSPINN,2/1/2015,68.3,68.4,67.6,67.9,21671
APEXTANRY,2/1/2015,116.5,120,116.4,118.5,3884
APOLOISPAT,2/1/2015,18.4,18.4,17.7,17.9,631353
ARAMIT,2/1/2015,275,275,268,272.1,500
ARAMITCEM,2/1/2015,34.2,34.7,34,34.1,13070
ARGONDENIM,2/1/2015,36.2,37,35.5,36,482022
ASIAINS,2/1/2015,21.2,21.2,20,20.1,10736
ASIAPACINS,2/1/2015,17.1,17.5,16.5,17.1,11123
ATLASBANG,2/1/2015,125.2,130,125,125.9,6699
BANGAS,2/1/2015,272,280,272,276.7,18571
BANKASIA,2/1/2015,17.5,17.8,17.5,17.7,129353
BATASHOE,2/1/2015,1240,1245,1229,1230.1,1915
BATBC,2/1/2015,2871,2940,2871,2935,675
BAYLEASING,2/1/2015,27.2,28.4,27.2,27.8,38677
BBS,2/1/2015,47.5,48.4,47.1,47.9,251376
BDCOM,2/1/2015,23.3,23.8,23,23.1,96600
BDFINANCE,2/1/2015,14.6,14.6,14.2,14.3,98296
BDLAMPS,2/1/2015,103.6,105.8,103,104.5,4370
BEACHHATCH,2/1/2015,22.2,22.3,21.5,21.7,227099
BARKAPOWER,2/1/2015,33.8,34,32.7,32.8,515521
BENGALWTL,2/1/2015,60.8,62,60,61.5,100359
BERGERPBL,2/1/2015,1390.3,1419,1390.2,1392.2,268
BEXIMCO,2/1/2015,30.3,30.6,29.5,29.8,847023
BGIC,2/1/2015,20,20.4,20,20.1,15858
BRACBANK,2/1/2015,39.7,39.7,38.6,38.9,577277
BSC,2/1/2015,490,492.5,486.9,487.8,13524
BSCCL,2/1/2015,108,108,102.4,103.1,203794
BSRMSTEEL,2/1/2015,75.8,77.6,75.1,76.8,60914
BXPHARMA,2/1/2015,57.7,57.7,55,55.2,431974
CENTRALINS,2/1/2015,23,23.4,22.1,23,19758
CENTRALPHL,2/1/2015,27.6,27.8,27,27.2,223453
CITYBANK,2/1/2015,21,21,20.6,20.8,356645
CITYGENINS,2/1/2015,17,17,16.5,16.9,14658
CMCKAMAL,2/1/2015,18.7,18.7,18.1,18.2,111741
CONFIDCEM,2/1/2015,97.5,97.9,95.4,96.1,43431
CONTININS,2/1/2015,16.9,17.7,16.9,17.3,12716
DACCADYE,2/1/2015,15.4,15.5,15.2,15.3,179574
DBH,2/1/2015,76,76,75,75,38627
DELTALIFE,2/1/2015,134,134.1,131,132,42938
DELTASPINN,2/1/2015,13.3,13.3,12.8,12.9,459812
DESCO,2/1/2015,67.5,68.2,66.9,67.9,335643
DESHBANDHU,2/1/2015,20.6,20.7,20.1,20.2,521618
DHAKABANK,2/1/2015,20.1,20.7,20,20.4,336736
DHAKAINS,2/1/2015,24,24,23.6,23.7,21701
DUTCHBANGL,2/1/2015,95,95.9,94,94.8,9040
EASTERNINS,2/1/2015,30.5,30.8,30.3,30.5,1610
EASTLAND,2/1/2015,31.5,31.5,30.6,30.9,17239
EBL,2/1/2015,28.6,28.7,28.3,28.4,559822
ECABLES,2/1/2015,106.4,106.4,103.2,105.2,285
EHL,2/1/2015,43.2,43.2,41.8,41.9,89570
ENVOYTEX,2/1/2015,53.6,54,53,53.4,135381
EXIMBANK,2/1/2015,10.8,10.8,10.6,10.7,527274
FAMILYTEX,2/1/2015,19.3,19.3,18.8,18.9,672903
FARCHEM,2/1/2015,26.2,26.7,25.6,26.5,301165
FAREASTLIF,2/1/2015,74.6,77,74.6,76.5,46454
FEDERALINS,2/1/2015,15.5,15.6,15.3,15.4,46282
FEKDIL,2/1/2015,24.9,25.6,24.6,25.2,181920
FIRSTSBANK,2/1/2015,10.9,11.3,10.9,11.1,372484
FIRSTFIN,2/1/2015,17.5,18,17.5,17.5,85990
FUWANGCER,2/1/2015,14.6,14.6,14.1,14.2,431222
FUWANGFOOD,2/1/2015,25.3,25.3,24.4,24.6,777338
GBBPOWER,2/1/2015,21.5,21.5,21,21.1,151090
GENNEXT,2/1/2015,14.1,14.1,13.5,13.6,631414
GHAIL,2/1/2015,25.2,25.3,23.7,24,67978
GHCL,2/1/2015,40.1,40.5,40.1,40.3,92135
GLAXOSMITH,2/1/2015,1498,1498,1476.2,1476.8,371
GLOBALINS,2/1/2015,15.3,15.6,15.3,15.4,3344
GOLDENSON,2/1/2015,42,42,40.8,41,219548
GP,2/1/2015,327.3,329.8,324.1,326.2,156082
GPHISPAT,2/1/2015,44,45.7,43.3,43.9,89337
GQBALLPEN,2/1/2015,94,95,92.5,92.9,17570
GREENDELT,2/1/2015,67.5,67.9,66.8,67.4,456
GSPFINANCE,2/1/2015,27.8,27.8,26.5,26.8,691285
HEIDELBCEM,2/1/2015,489.1,494,488.1,490.1,12785
HRTEX,2/1/2015,25.3,25.8,25,25.6,43215
HWAWELLTEX,2/1/2015,35,35.3,34.8,34.9,45690
IBNSINA,2/1/2015,92.5,94.9,92,93.1,1604
IDLC,2/1/2015,75.4,75.8,74.3,75.2,238111
IFIC,2/1/2015,25.3,25.7,24.9,25.3,118649
INTECH,2/1/2015,12.7,12.8,12.6,12.6,38985
IPDC,2/1/2015,17,17.9,16.7,17.7,48463
ISLAMIBANK,2/1/2015,23.7,23.8,23.5,23.6,164783
ISLAMICFIN,2/1/2015,16.4,16.9,16.4,16.8,92970
ISLAMIINS,2/1/2015,18.3,19.1,18.2,18.4,7974
JAMUNABANK,2/1/2015,12.7,13,12.7,12.9,95036
JAMUNAOIL,2/1/2015,201,201.6,198.2,199.8,82846
JANATAINS,2/1/2015,15.3,15.5,15.3,15.4,3387
JMISMDL,2/1/2015,163.4,163.4,158,159.8,54026
KARNAPHULI,2/1/2015,15.9,16.3,15.9,16,11775
KBPPWBIL,2/1/2015,28,28,26.6,26.8,357953
KOHINOOR,2/1/2015,336.6,345.9,331,331.7,1569
KPCL,2/1/2015,56.5,56.5,54.5,55.1,323104
KPPL,2/1/2015,20.6,21,20.1,20.6,504980
LANKABAFIN,2/1/2015,40.6,41.3,40.1,40.7,98880
LIBRAINFU,2/1/2015,375,379,375,375.5,230
LINDEBD,2/1/2015,906,908.9,897.5,900.9,1291
MALEKSPIN,2/1/2015,17.5,17.8,17.5,17.5,151992
MARICO,2/1/2015,1081,1113.9,1081,1094.9,1575
MATINSPINN,2/1/2015,45.9,45.9,41,41.2,92626
MEGHNACEM,2/1/2015,115.2,117,115.2,115.6,27423
MEGHNALIFE,2/1/2015,79.1,79.1,76.6,77.6,16571
MERCANBANK,2/1/2015,13.4,13.6,13.3,13.4,428324
MERCINS,2/1/2015,15.1,15.9,15.1,15.3,15194
MHSML,2/1/2015,30,30,29,29.2,280700
MICEMENT,2/1/2015,68.7,68.7,66,67.7,25857
MITHUNKNIT,2/1/2015,73,73.4,71,72.4,42914
MJLBD,2/1/2015,113.6,114,109,109.4,276128
MONNOSTAF,2/1/2015,298,307.8,287,296.5,1450
MPETROLEUM,2/1/2015,196.1,196.1,192.1,192.9,36642
MTB,2/1/2015,19.8,20,19.8,19.9,57993
NATLIFEINS,2/1/2015,226.1,232.5,226.1,227.8,999
NAVANACNG,2/1/2015,57.2,58.5,57.2,58.1,63730
NBL,2/1/2015,11.8,11.9,11.6,11.8,1369980
NCCBANK,2/1/2015,10.9,11,10.8,10.9,185665
NHFIL,2/1/2015,26.5,27.4,26.3,26.6,12188
NITOLINS,2/1/2015,24.5,25,24.3,24.8,15389
NORTHERN,2/1/2015,252,252,237.6,239.4,970
NORTHRNINS,2/1/2015,23.3,23.7,23.1,23.6,19485
NPOLYMAR,2/1/2015,67.3,69.8,66.4,68.2,110579
NTC,2/1/2015,701.5,701.5,700,700.7,260
NTLTUBES,2/1/2015,94,94,90.5,91,28842
OLYMPIC,2/1/2015,231.8,231.8,224,226,137803
ONEBANKLTD,2/1/2015,14.9,15,14.5,14.7,556074
ORIONINFU,2/1/2015,40.3,40.8,39.8,40.1,139128
ORIONPHARM,2/1/2015,43.1,43.2,42.7,42.8,154022
PADMAOIL,2/1/2015,235.9,239.9,231,231.5,58209
PARAMOUNT,2/1/2015,16.7,16.7,15.1,15.3,12210
PENINSULA,2/1/2015,23.3,23.3,22.6,22.8,173007
PEOPLESINS,2/1/2015,20,20,18.7,18.8,19983
