name,date,a,b,c,d,price
SAFKOSPINN,1/1/2015,26.7,29.3,26.7,29.1,140270
SAIHAMCOT,1/1/2015,17.6,18.4,17.6,18.3,180389
SAIHAMTEX,1/1/2015,27.9,28.1,27.2,27.8,111120
SALAMCRST,1/1/2015,34.9,35.3,34.6,35,103450
SALVOCHEM,1/1/2015,20.5,21.1,20.5,20.9,233025
SAMORITA,1/1/2015,80.5,84.4,80.5,82.4,5464
SANDHANINS,1/1/2015,59.6,60.1,59.6,60,31341
SAPORTL,1/1/2015,83.9,85.8,83.2,84.9,518340
SHAHJABANK,1/1/2015,11.6,11.6,11.3,11.4,418819
SIBL,1/1/2015,13.6,13.9,13.6,13.7,112754
SINGERBD,1/1/2015,222,223.9,218,221,77285
SINOBANGLA,1/1/2015,30,30.8,30,30.6,104549
SONALIANSH,1/1/2015,114,121,112.8,117,26374
SONARBAINS,1/1/2015,18.1,18.8,18.1,18.3,6783
SOUTHEASTB,1/1/2015,19.9,20.1,19.2,19.6,908919
SPPCL,1/1/2015,51.4,51.8,50.2,50.9,203051
SQUARETEXT,1/1/2015,90.3,92.8,90.3,91.6,40552
SQURPHARMA,1/1/2015,261.8,261.8,257.7,260.3,134697
STANCERAM,1/1/2015,39.1,42.5,39.1,41.8,3706
STANDARINS,1/1/2015,25.4,25.7,25.4,25.6,2575
STANDBANKL,1/1/2015,12.5,12.9,12.5,12.9,227198
STYLECRAFT,1/1/2015,860,860,860,860,10
SUMITPOWER,1/1/2015,38.6,40.2,38.4,40,960873
TAKAFULINS,1/1/2015,26,26.2,26,26.1,5589
TITASGAS,1/1/2015,81,81.5,79,81.2,215356
TRUSTBANK,1/1/2015,19.8,20,19.6,19.9,444520
TUNGHAI,1/1/2015,19.4,20.2,19.4,19.9,934262
UCBL,1/1/2015,29.4,29.9,29.2,29.7,383723
UNIONCAP,1/1/2015,20,22.3,20,21.4,161676
UNIQUEHRL,1/1/2015,65.5,66.2,65.5,66,57410
UNITEDAIR,1/1/2015,9,9.1,9,9.1,791413
UNITEDINS,1/1/2015,33.1,33.3,33.1,33.2,332
USMANIAGL,1/1/2015,121.8,121.8,116,119.4,4423
UTTARABANK,1/1/2015,25.7,26.5,25.7,26.3,90809
UTTARAFIN,1/1/2015,75.2,75.9,74.6,75.1,63358
WATACHEM,1/1/2015,214,215.8,211,213.5,11296
ZAHINTEX,1/1/2015,16.5,16.9,16.4,16.6,27296
ANWARGALV,1/1/2015,40,40.9,39,39.6,58448
BDTHAI,1/1/2015,47.7,47.7,46.1,47.3,557921
BIFC,1/1/2015,16.4,16.7,16.3,16.5,74719
CVOPRL,1/1/2015,504,505,488,490.1,133672
DSHGARME,1/1/2015,84.1,85,82.5,83.2,33478
FASFIN,1/1/2015,19,20,18.9,19.7,22133
HAKKANIPUL,1/1/2015,31.1,31.1,30,30.1,26902
ILFSL,1/1/2015,13.7,13.9,13.5,13.7,111756
LEGACYFOOT,1/1/2015,27.1,27.7,27,27.1,125625
MAKSONSPIN,1/1/2015,13.4,13.4,13.2,13.3,295567
METROSPIN,1/1/2015,12.3,12.5,12.3,12.4,46040
MIRACLEIND,1/1/2015,16.1,16.4,15.9,16.1,163185
MONNOCERA,1/1/2015,29.5,30,29.5,30,14592
RUPALILIFE,1/1/2015,54.5,55.5,54.4,54.9,98643
SUNLIFEINS,1/1/2015,44.2,44.6,43,43.2,53178
APOLOISPAT,1/1/2015,20,20.3,19.9,20,754654
EMERALDOIL,1/1/2015,37.7,39.3,37.7,39.1,59340
HFL,1/1/2015,37,37.5,36.8,36.9,365457
HWAWELLTEX,1/1/2015,37.8,38.3,37.6,37.9,19715
KBPPWBIL,1/1/2015,34.2,35,34.2,34.6,244391
KPPL,1/1/2015,22,22.6,22,22.2,347857
RSRMSTEEL,1/1/2015,59.2,59.9,58.3,59.5,202087
SAIFPOWER,1/1/2015,63.9,65,62.5,64.4,621201
SHURWID,1/1/2015,30,30.4,29.7,29.9,194165
WMSHIPYARD,1/1/2015,53.7,54.1,53,53.6,494090
ALLTEX,1/1/2015,24.8,25.5,24,24.4,229078
AZIZPIPES,1/1/2015,22,22,21,21.5,6102
BDAUTOCA,1/1/2015,20.5,24.5,20.5,23,1217
